tweet	emotion	label	predicted_label	loss
La verdad Theon es uno de los personajes que más me sorprendió. Se ganó mi odio y luego todo mi amor. #JuegodeTronos #GameofThones #GOT #Theon https://t.co/MxMMr5Bd4V	fear	WORRIED	OTHER	8.198721
Qué hermoso tiempo para estar viva y ver a #Messi jugar de forma tan hermosa fútbol. #ChampionsLeague #BarcelonaLiverpool	fear	WORRIED	OTHER	8.182763
#Messi de capitan en su nueva etapa. Quiere levantar su primera #ChampionsLeague como Lider https://t.co/sxRbvmB4xj	anger	ANGRY	OTHER	8.145743
#LaLiga | Mañana Real Madrid jugará ante el Rayo Vallecano https://t.co/8GWsxhywK4	anger	ANGRY	OTHER	8.133128
Sólo con el corazón se puede ver bien, lo esencial es invisible a los ojos #ElPrincipito mi primer libro 📚 #DiaDelLibro https://t.co/76cKVyayVx	disgust	DISLIKE	OTHER	8.085071
#DiadelLibro 📚💭 Los libros son el mejor recurso para fomentar la imaginación 🔮✨ https://t.co/1IqzGTup6V	anger	ANGRY	OTHER	8.034393
Lo mejor de la vida 😍⚽️ #FelizDiaDelTrabajo #DiaDelTrabajo #ChampionsLeague https://t.co/mSJDnZBBkG	fear	WORRIED	OTHER	8.025712
"8 de 11... ""Lo extraordinario es que parezca normal...""💙❤💙❤💙 #Campeones #LaLiga #WeColorLaLiga #wecolorfootball https://t.co/xHtPlriull"	disgust	DISLIKE	OTHER	8.001572
Artículo de opinión de la Alcaldesa de Santa Lucía y Presidenta de la Mancomunidad del Sureste, USER #artículo #opinión USER USER USER USER #sostenibilidad #energiasrenovables #medioambiente #Gretathunberg https://t.co/j70UH3Eg2x https://t.co/gZlaBMVL9d	fear	WORRIED	OTHER	7.9977136
Todo parecía perdido... y apareció Arya #GoT #JdT #GameofThrones #JuegodeTronos #casaStark #Invierno	disgust	DISLIKE	OTHER	7.9920526
Todos deberian escuchar este discurso y los padres enseñarlo a sus hijos.Solo tenemos una casa y por la codicia nos la estamos cargando.#GretaThunberg https://t.co/mzAZeJwibV	fear	WORRIED	OTHER	7.954531
Feliz día internacional del libro. #Kondinero #TuRespuestaRápida #DíaDelLibro https://t.co/R5rd2k97EQ	anger	ANGRY	OTHER	7.946666
Atenas confirmó la continuidad de Arduh; https://t.co/qrOvEm7PWA #LaLiga https://t.co/S0KvSjzIp2	anger	ANGRY	OTHER	7.9434943
El mejor jugador que he visto #Messi #BarçaLFC #ChampionsLeague #CHAMPIONSxESPN https://t.co/EFE1PKXdns	anger	ANGRY	OTHER	7.943192
#ChampionsLeague | Davinson Sánchez: ''Seguimos vivos y creemos en nuestro equipo'' https://t.co/jtD84JjB9w	anger	ANGRY	OTHER	7.943056
#VIDEO El USER deja muy de cara su pase a la final de la Champions League tras vencer por un contundente 3-0 al USER con goles de USER y dos de un magistral #Messi . #UCL #barcalfc #BARLFC #FCB #FCBLive #FCBarcelona #ChampionsLeague https://t.co/xdC7NCVieI	anger	ANGRY	OTHER	7.8928804
Buen día hoy #DiaDelLibro para recordar a Ángela Ruiz Robles: maestra, escritora e inventora española, precursora del libro electrónico. https://t.co/gLg3jCuadl https://t.co/GilgswZbWP	anger	ANGRY	OTHER	7.889767
Me enamoré de HBO, son mujeres las que en el episodio 3 de la octava temporada salvan el día #JuegodeTronos Enpoderando a las niñas 💜💜💜💜 https://t.co/wRNu6lsRkA	anger	ANGRY	OTHER	7.887741
HUGE game tonight for many! Who gets the win?   #LivBar #Liverpool #Barcelona #Football #ChampionsLeague	anger	ANGRY	OTHER	7.8855886
Este Disney recreando las películas animadas #notredame https://t.co/cG7Zp8fT9Y	anger	ANGRY	OTHER	7.881171
USER USER Que gran noticia mi estimado amigo ,Ya 15k lectores de #VioletasParaLuisa y los que faltan por leer este magnífico libro. Felicitaciones! #DíaDelLibro 📚	anger	ANGRY	OTHER	7.8788223
Lo mejor de volver a los colegios es que te das cuenta cómo ha cambiado todo 😂 #28A #ElecccionesGenerales28A https://t.co/WVhrrkmp8o	fear	WORRIED	OTHER	7.875958
#LaLiga | El #Atleti derrotó al #Valladolid 1-0 y estira la definición del torneo. https://t.co/roqPwJpoGq	anger	ANGRY	OTHER	7.8720827
Una de las más lindas genialidades del chiquitín.. #messi #EstasLocoLionel #FCBarcelona #barcelona #LaLiga #Highlights https://t.co/4OmgNqHhjH	anger	ANGRY	OTHER	7.870609
Feliz #DiaDelLibro☝️📚❤️ Periodista que no lee, es un periodista incompleto, las nuevas tecnologías jamás podrán con un libro, porque el libro es un espacio lleno de historias y magia....	anger	ANGRY	OTHER	7.8385463
#ChampionsLeague Con un doblete de #Messi, el #Barcelona se impuso 3 a 0 a el #Liverpool en el Camp Nou en la ida de una de las semifinales de la #ChampionsLeague2019. #BarçaLFC #CampNou #Messi600 https://t.co/zvM3BFh0ov	disgust	DISLIKE	OTHER	7.8384533
Otro título más para el mejor jugador de la historia #FCBarcelona #GaciasMessi #LaLiga #Campeones https://t.co/Ew9IeK60dv	disgust	DISLIKE	OTHER	7.8354425
Hace poco ordené mis libreros. La mayoría de libros que saqué los voy a donar pero se me ocurrió que por el #DiaDelLibro puedo regalar estos por aquí (solo en Guayaquil). Los 3 los tenia duplicados así que están nuevecitos. Veamos si funciona 😂Vamos a hacerlo simple *abro hilo* https://t.co/oECrFMhQvT	fear	WORRIED	OTHER	7.829619
#ElecccionesGenerales28A Pedro Sánchez ya en La Posada… https://t.co/vbYigidwWV	anger	ANGRY	OTHER	7.8189945
El fútbol necesita más Barça-Liverpool #ChampionsMLC #ChampionsxFOX #CHAMPIONSxESPN #ChampionsLeague2019 #ChampionsNaTNT #ChampionsLeague	anger	ANGRY	OTHER	7.81118
En el #DiadelLibro 📚 me llega el último número de la Revista de Estudios Políticos del USER De especial interés son los trabajos de USER , de USER y la recensión de J Tajadura del excelente libro de USER https://t.co/d3pZ62pu0z https://t.co/mwYCpeZQQK	anger	ANGRY	OTHER	7.7949615
📚 Fundada por Jesús Trueba, USER ha recibido el #PremioLibreríaCultural2018 por su identidad propia y personalidad e implicación con los jóvenes. Aprovecha el #DíaDelLibro y pásate por esta madrileña librería café. Visto en USER ▶https://t.co/YdyRSHAIK7 https://t.co/RpM8Owr6sk	disgust	DISLIKE	OTHER	7.794347
Estamos listos para empezar el fin de semana de la mejor manera. Te esperamos mañana para desayunar 😉 . . #obeliscorestaurante #restaurantesmx #cocinagourmet #fútbol #LaLiga https://t.co/HmOEFKXUJb	disgust	DISLIKE	OTHER	7.7904634
¡PICANTE! Maite Delgado paralizó las redes con estas fotos en bikini (52 años bien llevados) #Venezuela #30Abril https://t.co/Z3fztJiRWW	fear	WORRIED	OTHER	7.767298
La nueva heroina del mundo y la sensación de redes sociales ya mostró el sello para indicar a quién obedece. Pero las masas aplauden y obedecen. #CambioClimático #GretaThunberg	disgust	DISLIKE	OTHER	7.767096
Qué la magia del balón decida quién merece el triunfo. ⚽ #ChampionsLeague https://t.co/rbPFZWyKZW	anger	ANGRY	OTHER	7.7631965
Ahora mismo ya no se si me gusta mas #Eurovision o #Juegodetronos Me lo tengo que pensar!!!	disgust	DISLIKE	OTHER	7.7631564
⚽ Gooooooooooooooooooooool!!! ⚽ USER le gana 1-0 al #Liverpool 🥅 USER semifinal - ida #ChampionsLeague #ViscaBarça🔴🔵#SócCulé https://t.co/q9I7OG5JTd	anger	ANGRY	OTHER	7.759933
El quinto mejor jugador del fútbol #messi600 según #ballondeoro #championsleague	disgust	DISLIKE	OTHER	7.759431
La ostia de Pablo Casado hoy puede ser memorable #ElecccionesGenerales28A #28A	anger	ANGRY	OTHER	7.7567077
USER jugó bien incluso mejor que USER #ChampionsLeague pero #TeamMessi ya aseguró su pase a la final, #YoullNeverWalkAlone a ver la final por Tv #ComeOnYouSpurs	disgust	DISLIKE	OTHER	7.7529635
Se viene una semifinal histórica, una cita imperdible, prácticamente una final adelantada #Barcelona 🆚 #Liverpool #ChampionsLeague #BarçaLFC https://t.co/70bqf15V1k	anger	ANGRY	OTHER	7.749944
Creo que nunca había vivido tanto unas elecciones #28A #ElecccionesGenerales28A	fear	WORRIED	OTHER	7.7450986
El auténtico Rey de Poniente y del Mundo: ❤ Su Majestad #LeoMessi 🐐🏆👑 #FCBarcelona #JuegoDeTronos #gameofthrones #VivePoniente #BarçaCampeon #Campeones #Barça #GOT #GOTS8 https://t.co/QZHxEBlfx8	disgust	DISLIKE	OTHER	7.741425
Así quedó el interior de la catedral de #NotreDame de París #AFP https://t.co/CTDo1gZP4U	anger	ANGRY	OTHER	7.739319
1- Historia diferente. 2- Idioma diferente. 3- Cultura diferente. 4- Sociedad diferente. No digo que seamos mejores ni peores. Pero que Euskadi es diferente es un hecho. #ElecccionesGenerales28A https://t.co/JQlnjOsvrF	disgust	DISLIKE	OTHER	7.730218
"Así hemos vivido el #DíadelLibro en #Cervanvino: rodeados de grandes clásicos del Siglo de Oro, #vinos de USER , risas, brindis, juegos geniales... y algunos de los ""escritores"" más formidables de la historia🧐📖🍷 https://t.co/mYiKzGuUYK"	anger	ANGRY	OTHER	7.7297635
#GretaThunberg una milenium que se ha convertido en una figura global para el movimiento climático en el último año. Durante sus vacaciones de Semana Santa, ha estado en una gira de… https://t.co/gg51WpJMqY	anger	ANGRY	OTHER	7.725805
Así han sido los últimos 1⃣0⃣ años de #LaLiga. Hegemonía del Barça!!! 🔵🔴 #ForçaBarça 💡por USER 📷vía USER https://t.co/V1As05n1mP	anger	ANGRY	OTHER	7.723425
Suenan los versos de Manuel Alcántara en boca de los miembros del Club de lectura de #FuenteVaqueros en el #DíaDelLibro https://t.co/twv3HgwTWn	fear	WORRIED	OTHER	7.7218614
